Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInQPC,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartQPC,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080850135826,NA,17.17070000000000,16.66570000000000,0.13410000000000,32.45720000000000,48.7555,1080849965326,17.1841,17.0500,0.1341,32.9787,16.5285,0.6604,15.8681,NA,18.5240,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080850299573,NA,16.37470000000000,16.66950000000000,0.12440000000000,32.75100000000000,49.0503,1080850137167,16.3650,16.2406,0.1244,32.3231,16.6685,0.6070,16.0615,0.5146,35.7081,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080850466315,NA,16.67420000000000,16.67820000000000,0.13370000000000,32.71600000000000,49.0543,1080850300817,16.6835,16.5498,0.1337,32.6266,16.6392,0.7717,15.8675,-0.3132,52.0731,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080850631988,NA,16.56730000000000,16.66340000000000,0.14850000000000,32.85920000000000,49.1504,1080850467652,16.5821,16.4336,0.1485,32.5823,16.7105,0.9003,15.8102,0.0201,68.7566,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080850802853,NA,17.08650000000000,16.67480000000000,0.15210000000000,32.45520000000000,48.7387,1080850633473,17.0901,16.9380,0.1521,32.7107,16.6825,1.2423,15.4402,-0.0927,85.3387,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080850966681,NA,16.38280000000000,16.68510000000000,0.15910000000000,32.73890000000000,49.0410,1080850804374,16.3898,16.2307,0.1591,32.3031,16.6665,1.1300,15.5365,0.4050,102.4288,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080851133203,NA,16.65220000000000,16.64840000000000,0.13120000000000,32.76260000000000,49.0372,1080850968272,16.6243,16.4931,0.1312,32.5798,16.6759,1.2908,15.3851,-0.2586,118.8186,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080851299803,NA,16.66000000000000,16.64580000000000,0.16460000000000,32.73150000000000,49.0230,1080851134515,16.6934,16.5288,0.1646,32.6314,16.6289,1.2946,15.3343,-0.0215,135.4429,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080851465547,NA,16.57440000000000,16.66650000000000,0.13040000000000,32.81360000000000,49.1151,1080851301449,16.5402,16.4098,0.1304,32.5669,16.6565,0.8824,15.7741,0.0269,152.1363,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080851634246,NA,16.86990000000000,16.66650000000000,0.13310000000000,32.61640000000000,48.9117,1080851466851,16.8726,16.7395,0.1331,32.6832,16.6727,1.2635,15.4092,-0.1263,168.6765,NA,NA,NA
